policy,num_stas,seed,critical_pdr,high_pdr,normal_pdr,overall_pdr,critical_throughput_share,high_throughput_share,normal_throughput_share,elapsed_s
chang2019,800,99,0.08622685185185185,0.07713675213675214,0.07817385866166354,0.07864583333333333,0.09867549668874172,0.2390728476821192,0.6622516556291391,66.83
no_raw,1000,42,0.02152014652014652,0.016268260292164674,0.015704154002026342,0.016375,0.11959287531806616,0.24936386768447838,0.6310432569974554,941.03
no_raw,1000,7,0.021062271062271064,0.016600265604249667,0.014944275582573455,0.015916666666666666,0.12041884816753927,0.2617801047120419,0.6178010471204188,967.97
no_raw,1000,99,0.020146520146520148,0.01593625498007968,0.015450861195542046,0.016,0.11458333333333333,0.25,0.6354166666666666,938.53
static,1000,42,0.11446886446886446,0.09246347941567065,0.10777608915906789,0.10454166666666667,0.0996412913511359,0.2220007971303308,0.6783579115185333,70.23
static,1000,7,0.12866300366300365,0.08648738379814078,0.11322188449848024,0.10791666666666666,0.10849420849420849,0.20115830115830116,0.6903474903474903,29.28
static,1000,99,0.1282051282051282,0.10175962815405047,0.1079660587639311,0.10825,0.1077752117013087,0.2359507313317937,0.6562740569668977,28.08
adaptive,1000,42,0.10714285714285714,0.09096945551128818,0.09929078014184398,0.09791666666666667,0.09957446808510638,0.23319148936170211,0.6672340425531915,29.36
adaptive,1000,7,0.09981684981684982,0.09910358565737051,0.09371833839918946,0.095625,0.09498910675381264,0.2601307189542484,0.644880174291939,29.89
adaptive,1000,99,0.09065934065934066,0.09843957503320053,0.09561803444782169,0.095875,0.08604954367666232,0.25771403737505433,0.6562364189482833,29.97
laca,1000,42,0.10302197802197802,0.08748339973439576,0.10074721377912867,0.097625,0.09603072983354674,0.22492530943235167,0.6790439607341016,28.66
laca,1000,7,0.08836996336996338,0.09677954847277556,0.09903748733535968,0.0975,0.08247863247863248,0.24914529914529915,0.6683760683760683,29.48
laca,1000,99,0.09798534798534798,0.0903054448871182,0.09770770010131712,0.095875,0.09300304215558453,0.23641894828335505,0.6705780095610604,29.5
chang2019,1000,42,0.056776556776556776,0.056606905710491366,0.05553444782168186,0.05591666666666667,0.09239940387481371,0.2540983606557377,0.6535022354694486,93.74
