policy,n,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,e_total_mj,e_sleep_mj,e_idle_mj,ee_kbit_j,e_per_pkt_uj
tab_ddqn,800,42,0.185729,30.429867,7181.754475,19037.25647,0.814271,0.694427,0.417197,0.417197,1.0,488.54488,51.190235,317.546512,9.343011,109600.646072
tab_ddqn,800,7,0.192552,31.547733,7025.634538,19513.158918,0.807448,0.717034,0.417013,0.417013,1.0,482.666056,51.35533,310.869617,9.804211,104444.913326
tab_ddqn,800,99,0.160469,26.2912,8439.067171,25310.882642,0.839531,0.697203,0.429765,0.429765,1.0,474.909354,51.508171,304.993399,8.304069,123313.042348
tab_ddqn,1000,42,0.136708,27.997867,8025.40505,22914.029475,0.863292,0.648087,0.448768,0.448768,1.0,565.245117,49.161188,399.033097,5.943871,172278.304572
tab_ddqn,1000,7,0.111667,22.869333,13787.029833,45239.170539,0.888333,0.682513,0.415699,0.415699,1.0,506.687966,50.592681,342.124658,5.416193,189062.674052
tab_ddqn,1000,99,0.140583,28.791467,7749.136687,20920.952698,0.859417,0.678905,0.439678,0.439678,1.0,586.261751,48.62153,420.621562,5.893231,173758.669497
dqn,100,42,0.87125,17.8432,2026.227135,7073.990851,0.12875,0.993858,0.262384,0.262384,1.0,416.976303,53.873396,205.797367,51.350256,19941.4779
dqn,100,7,1.0,20.48,1104.688027,2350.101033,0.0,1.0,0.129624,0.129624,1.0,362.616111,55.223776,151.938633,67.774154,15109.004612
dqn,100,99,0.98375,20.1472,876.33402,2057.491672,0.01625,0.999573,0.227692,0.227692,1.0,438.403022,53.426828,223.110415,55.147065,18568.531199
dqn,200,42,0.799375,32.7424,2323.790456,6060.802664,0.200625,0.987336,0.384698,0.384698,1.0,489.391248,52.183699,272.599087,40.142606,25509.056476
dqn,200,7,0.797083,32.648533,2694.067512,8101.368423,0.202917,0.985902,0.292197,0.292197,1.0,423.574163,53.672844,213.999389,46.247202,22141.879934
dqn,200,99,0.522917,21.418667,3192.972869,9878.808256,0.477083,0.935121,0.422964,0.422964,1.0,368.721045,54.850966,168.113735,34.853449,29380.162939
dqn,400,42,0.416979,34.158933,3806.301121,9151.183186,0.583021,0.799426,0.447366,0.44685,1.0,453.585643,52.548123,260.884151,22.592602,45324.57092
dqn,400,7,0.437812,35.8656,4584.179544,12731.852329,0.562188,0.871101,0.372606,0.372606,1.0,440.036908,52.811946,250.730597,24.451767,41878.363832
dqn,400,99,0.358229,29.346133,3729.154186,9091.746238,0.641771,0.739299,0.495922,0.49571,1.0,475.086329,51.968376,284.238272,18.531032,55258.659963
dqn,600,42,0.161597,19.857067,8477.581101,25858.555853,0.838403,0.75693,0.33919,0.33919,1.0,411.15259,53.081154,242.373289,9.65922,106012.700366
dqn,600,7,0.244514,30.045867,6419.070597,22041.927652,0.755486,0.819709,0.281974,0.281974,1.0,411.929615,53.15946,238.723839,14.587864,70195.333351
dqn,600,99,0.161181,19.805867,7886.868531,20768.721378,0.838819,0.713478,0.418109,0.418109,1.0,401.761799,53.37198,230.498865,9.859507,103859.146784
dqn,800,42,0.197396,32.341333,6590.761714,17908.180024,0.802604,0.718838,0.411059,0.411059,1.0,519.787103,50.409097,348.688574,9.333052,109717.594371
dqn,800,7,0.18099,29.653333,5535.190303,14569.193969,0.81901,0.68397,0.463368,0.463281,1.0,565.186348,49.274777,393.922072,7.869971,130114.842648
dqn,800,99,0.20875,34.2016,6954.909639,19707.757393,0.79125,0.732377,0.386393,0.386393,1.0,494.460131,51.051504,323.022562,10.375437,98694.636984
dqn,1000,42,0.178583,36.573867,8512.383991,24691.211668,0.821417,0.739227,0.28892,0.28892,1.0,552.650977,49.452081,387.531826,7.941475,128943.298344
dqn,1000,7,0.152042,31.138133,7498.771306,21857.647047,0.847958,0.672377,0.418392,0.418392,1.0,549.677343,49.571002,382.580037,6.797762,150637.802846
dqn,1000,99,0.138625,28.3904,7758.644261,25237.786924,0.861375,0.709228,0.362961,0.362961,1.0,591.336313,48.442734,428.008318,5.76127,177738.597349
ddqn,100,42,1.0,20.48,992.09659,2911.9459,0.0,1.0,0.292257,0.292257,1.0,433.978151,53.696419,211.556475,56.629579,18082.422944
ddqn,100,7,1.0,20.48,818.174324,1933.259327,0.0,1.0,0.229287,0.229287,1.0,423.175694,53.841633,206.39236,58.075169,17632.320581
ddqn,100,99,0.99,20.2752,1777.776721,3693.046357,0.01,0.999606,0.048011,0.048011,1.0,311.314286,56.41534,104.884504,78.153304,13102.453123
ddqn,200,42,0.740625,30.336,2407.021008,6016.635823,0.259375,0.986991,0.37086,0.37086,1.0,451.855463,53.02013,239.779623,40.281908,25420.841824
ddqn,200,7,0.870833,35.669333,2229.003305,5602.885885,0.129167,0.990342,0.308593,0.308593,1.0,465.152413,52.723705,251.370822,46.009866,22256.096303
ddqn,200,99,0.936875,38.3744,1951.474721,4563.5229,0.063125,0.996472,0.299322,0.299322,1.0,469.149644,52.714654,251.247214,49.07739,20865.005304
