policy,n,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
ddqn,200,0.849444,0.601363,1.097526,34.793244,24.63184,44.954649,2195.833011,1625.484977,2766.181046,5394.348203,3534.409507,7254.286899,0.150556,-0.097526,0.398637,0.991268,0.979323,1.003213,0.326259,0.22961,0.422907,0.326259,0.22961,0.422907,1.0,1.0,1.0,462.052507,439.558716,484.546297,52.819496,52.387685,53.251307,247.465886,230.928178,264.003594,45.123054,34.032229,56.213879,22847.314477,17047.001463,28647.627491
ddqn,400,0.387465,0.257404,0.517527,31.741156,21.08654,42.395771,3977.355096,3852.098817,4102.611375,10366.056293,9303.138417,11428.974169,0.612535,0.482473,0.742596,0.793779,0.758929,0.828628,0.430516,0.33747,0.523562,0.430446,0.337502,0.523389,1.0,1.0,1.0,436.141483,355.179144,517.103823,52.917489,51.059596,54.775382,246.501422,173.277611,319.725233,21.768814,18.551223,24.986405,47148.771405,40318.914243,53978.628568
ddqn,600,0.216968,0.094914,0.339022,26.660978,11.662978,41.658978,7128.049399,3612.1038,10643.994998,19450.151804,9629.660356,29270.643252,0.783032,0.660978,0.905086,0.74591,0.662917,0.828904,0.38291,0.344933,0.420887,0.38291,0.344933,0.420887,1.0,1.0,1.0,423.241868,310.746367,535.737369,52.88826,50.241208,55.535312,249.49742,144.820764,354.174076,12.494907,8.727222,16.262593,82731.377419,58810.137322,106652.617516
ddqn,800,0.179427,0.093016,0.265838,29.397333,15.239704,43.554962,6820.1369,4735.823893,8904.449907,20900.380783,10136.873009,31663.888556,0.820573,0.734162,0.906984,0.674187,0.52714,0.821234,0.437862,0.219407,0.656318,0.437744,0.219592,0.655896,1.0,1.0,1.0,501.757572,421.337281,582.177862,50.866282,48.885823,52.846741,330.434071,251.595243,409.272899,8.842772,3.811215,13.87433,119593.208741,57672.227394,181514.190088
ddqn,1000,0.1185,0.050045,0.186955,24.2688,10.249218,38.288382,14729.557288,3985.636219,25473.478357,42546.558851,13803.196657,71289.921046,0.8815,0.813045,0.949955,0.758282,0.749231,0.767334,0.266192,0.211262,0.321122,0.266192,0.211262,0.321122,1.0,1.0,1.0,507.001712,366.641776,647.361649,50.523415,47.054322,53.992507,345.187444,207.087539,483.287348,5.695083,4.056403,7.333763,181327.429034,132310.841869,230344.0162
ppo,100,0.960278,0.864471,1.056085,19.666489,17.704363,21.628615,1398.999617,888.575198,1909.424036,3905.023985,1422.754117,6387.293853,0.039722,-0.056085,0.135529,0.998141,0.993663,1.002618,0.234508,0.207827,0.26119,0.234508,0.207827,0.26119,1.0,1.0,1.0,410.843302,391.788019,429.898585,54.110191,53.75378,54.466603,195.899605,182.324439,209.47477,57.428007,54.182948,60.673066,17837.118674,16838.044166,18836.193182
ppo,200,0.721389,0.438475,1.004303,29.548089,17.959938,41.13624,2790.136661,1567.638685,4012.634636,7021.438901,3248.610488,10794.267314,0.278611,-0.004303,0.561525,0.966543,0.905419,1.027667,0.369485,0.311528,0.427442,0.369485,0.311528,0.427442,1.0,1.0,1.0,442.333703,325.569666,559.097739,53.219988,50.677633,55.762342,232.012475,132.602064,331.422887,39.938846,34.978264,44.899428,25681.132114,22554.847019,28807.417209
ppo,400,0.390208,0.361661,0.418756,31.965867,29.627262,34.304472,4598.08637,3065.008317,6131.164423,12484.35205,5882.591689,19086.112412,0.609792,0.581244,0.638339,0.800438,0.759758,0.841118,0.423051,0.313278,0.532823,0.422981,0.31351,0.532451,1.0,1.0,1.0,433.731769,341.019454,526.444084,52.968558,50.727066,55.21005,244.510775,155.501303,333.520247,22.235939,16.600302,27.871576,46386.771355,34131.136833,58642.405878
ppo,600,0.251528,0.186403,0.316652,30.907733,22.905252,38.910215,6257.038928,2780.946941,9733.130915,19089.144138,1520.431715,36657.856561,0.748472,0.683348,0.813597,0.764508,0.608804,0.920211,0.376169,0.117178,0.635161,0.37607,0.117262,0.634877,1.0,1.0,1.0,451.509873,352.313445,550.7063,52.229426,49.887753,54.571099,275.51266,182.810345,368.214975,13.773749,8.973152,18.574347,75414.859798,46966.589051,103863.130545
ppo,800,0.124687,0.034072,0.215303,20.4288,5.582343,35.275257,11295.569251,-718.099274,23309.237777,35002.242706,-6550.960711,76555.446123,0.875313,0.784697,0.965928,0.704533,0.549286,0.859779,0.387514,0.222268,0.55276,0.387451,0.222468,0.552434,1.0,1.0,1.0,481.347587,399.17749,563.517684,51.254307,49.408812,53.099801,315.596051,243.084627,388.107475,6.301649,2.762275,9.841022,168374.906458,70682.954024,266066.858893
ppo,1000,0.134042,0.075955,0.192128,27.451733,15.55563,39.347837,10019.966774,6869.583115,13170.350433,29674.113591,19912.976712,39435.25047,0.865958,0.807872,0.924045,0.727446,0.672945,0.781946,0.366495,0.320387,0.412604,0.366495,0.320387,0.412604,1.0,1.0,1.0,553.712604,485.296417,622.128792,49.392462,47.608121,51.176803,390.09659,318.560671,461.632509,5.959802,3.207782,8.711821,175488.292359,101850.817368,249125.76735
