condition,policy,num_stas,n_seeds,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,assoc_mean_ms_mean,assoc_mean_ms_ci_lo,assoc_mean_ms_ci_hi,assoc_frac_mean,assoc_frac_ci_lo,assoc_frac_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi
demand,cluster_adaptive,500,3,0.276528,0.259772,0.293283,28.316444,26.600666,30.032223,3340.939418,3224.887746,3456.991091,8524.476505,8332.92179,8716.03122,0.723472,0.706717,0.740228,0.703636,0.700496,0.706777,0.519127,0.507573,0.530681,0.518392,0.507342,0.529442,27039.390844,26321.269832,27757.511857,1.0,1.0,1.0,810.859308,798.624257,823.094359,8.382192,7.749626,9.014758
demand,cluster_adaptive,600,3,0.214537,0.211129,0.217946,26.362311,25.943472,26.78115,3664.425856,3527.641982,3801.209729,9522.461816,9183.844802,9861.07883,0.785463,0.782054,0.788871,0.712023,0.692252,0.731793,0.524385,0.521482,0.527288,0.523722,0.521306,0.526138,32754.27927,32574.863078,32933.695461,1.0,1.0,1.0,900.594852,897.371935,903.817768,5.854451,5.748144,5.960757
demand,cluster_adaptive,800,3,0.131267,0.128757,0.133777,21.506844,21.095585,21.918104,4596.049553,4461.422426,4730.67668,13154.446661,12429.918352,13878.97497,0.868733,0.866223,0.871243,0.705688,0.686842,0.724534,0.525586,0.524683,0.526489,0.525023,0.524053,0.525993,44653.355239,42949.733072,46356.977406,1.0,1.0,1.0,1101.864919,1070.367354,1133.362483,2.928193,2.7939,3.062486
demand,cluster_adaptive,1000,3,0.092889,0.091461,0.094317,19.023644,18.731171,19.316118,5367.859592,5145.067961,5590.651223,17217.804039,16373.48674,18062.121338,0.907111,0.905683,0.908539,0.684344,0.655113,0.713574,0.513323,0.509399,0.517248,0.512429,0.508074,0.516784,57508.536307,56330.795827,58686.276787,0.996,0.978788,1.013212,1335.822424,1294.709404,1376.935444,1.70915,1.641083,1.777217
distance,cluster_csv,100,3,0.984583,0.979205,0.989962,20.164267,20.05411,20.274423,690.662298,678.764378,702.560219,1708.973226,1466.125795,1951.820657,0.015417,0.010038,0.020795,0.999586,0.999515,0.999657,0.258801,0.236701,0.2809,0.258559,0.23685,0.280268,4365.06488,3981.21599,4748.91377,1.0,1.0,1.0,455.480065,444.273492,466.686638,53.128531,51.576357,54.680704
distance,cluster_csv,200,3,0.917014,0.909543,0.924484,37.560889,37.254898,37.86688,1455.682141,1416.067745,1495.296537,3667.534106,3555.40165,3779.666563,0.082986,0.075516,0.090457,0.993642,0.992326,0.994959,0.384503,0.377892,0.391113,0.384361,0.377751,0.390971,10155.837601,9218.138061,11093.537141,1.0,1.0,1.0,608.499509,595.590324,621.408694,37.038564,36.00564,38.071488
distance,cluster_csv,300,3,0.532824,0.532426,0.533223,32.736711,32.712232,32.76119,2663.882775,2570.812772,2756.952778,6586.149421,6142.175617,7030.123224,0.467176,0.466777,0.467574,0.864169,0.834069,0.89427,0.487615,0.486375,0.488856,0.487057,0.485307,0.488806,16891.406545,16165.918659,17616.894431,1.0,1.0,1.0,695.178641,682.914937,707.442345,18.837055,18.509088,19.165023
distance,cluster_csv,400,3,0.381875,0.372922,0.390828,31.2832,30.54974,32.01666,3137.942407,3037.753721,3238.131094,7741.103586,7398.160159,8084.047013,0.618125,0.609172,0.627078,0.761182,0.736397,0.785967,0.50476,0.495307,0.514212,0.503739,0.493971,0.513508,24613.3092,23794.834632,25431.783768,1.0,1.0,1.0,796.453721,780.64401,812.263431,11.784142,11.363862,12.204423
distance,cluster_csv,500,3,0.265472,0.262455,0.268489,27.184356,26.875441,27.49327,3533.21306,3466.315465,3600.110656,9421.492869,8521.502138,10321.483601,0.734528,0.731511,0.737545,0.656078,0.62711,0.685046,0.508891,0.505404,0.512377,0.508278,0.504885,0.511671,30858.1376,30659.947496,31056.327704,1.0,1.0,1.0,883.03457,879.240957,886.828183,7.388463,7.290508,7.486418
distance,cluster_csv,600,3,0.195301,0.186612,0.20399,23.998578,22.930919,25.066237,4035.470736,4018.91837,4052.023102,10566.107149,9828.621042,11303.593256,0.804699,0.79601,0.813388,0.661988,0.629632,0.694344,0.52324,0.517791,0.52869,0.52241,0.517056,0.527764,37658.431362,35830.324489,39486.538235,1.0,1.0,1.0,993.562539,959.588904,1027.536174,4.832228,4.449239,5.215218
