mode,n,episode,seed,pdr,qtable_states,epsilon,episode_count,update_count
ddqn,200,13,89,0.8658333333333333,0,0.05,14,241
ddqn,200,14,144,0.9704166666666667,0,0.05,15,241
ddqn,200,15,233,0.7054166666666667,0,0.05,16,241
ddqn,200,16,377,0.6522916666666667,0,0.05,17,241
ddqn,200,17,610,0.92875,0,0.05,18,241
ddqn,200,18,987,0.46291666666666664,0,0.05,19,241
ddqn,200,19,1597,0.85875,0,0.05,20,241
ddqn,200,20,2584,0.91,0,0.05,21,241
ddqn,400,1,0,0.40979166666666667,0,0.05,2,241
ddqn,400,2,100,0.4188541666666667,0,0.05,3,241
ddqn,400,3,200,0.4535416666666667,0,0.05,4,241
ddqn,400,4,300,0.3090625,0,0.05,5,241
ddqn,400,5,400,0.42072916666666665,0,0.05,6,241
ddqn,400,6,13,0.49125,0,0.05,7,241
ddqn,400,7,77,0.4872916666666667,0,0.05,8,241
ddqn,400,8,31,0.4503125,0,0.05,9,241
ddqn,400,9,55,0.494375,0,0.05,10,241
ddqn,400,10,88,0.5159375,0,0.05,11,241
ddqn,400,11,21,0.4371875,0,0.05,12,241
ddqn,400,12,34,0.5058333333333334,0,0.05,13,241
ddqn,400,13,89,0.5229166666666667,0,0.05,14,241
ddqn,400,14,144,0.5067708333333333,0,0.05,15,241
ddqn,400,15,233,0.5102083333333334,0,0.05,16,241
ddqn,400,16,377,0.4996875,0,0.05,17,241
ddqn,400,17,610,0.47197916666666667,0,0.05,18,241
ddqn,400,18,987,0.5153125,0,0.05,19,241
ddqn,400,19,1597,0.5125,0,0.05,20,241
ddqn,400,20,2584,0.49895833333333334,0,0.05,21,241
ddqn,600,1,0,0.22493055555555555,0,0.05,2,241
ddqn,600,2,100,0.29104166666666664,0,0.05,3,241
ddqn,600,3,200,0.3182638888888889,0,0.05,4,241
ddqn,600,4,300,0.32430555555555557,0,0.05,5,241
ddqn,600,5,400,0.31645833333333334,0,0.05,6,241
ddqn,800,1,0,0.22479166666666667,0,0.05,2,241
ddqn,800,2,100,0.22583333333333333,0,0.05,3,241
ddqn,800,3,200,0.22734375,0,0.05,4,241
ddqn,1000,1,0,0.16658333333333333,0,0.05,2,241
ddqn,1000,2,100,0.16245833333333334,0,0.05,3,241
ddqn,1000,3,200,0.14620833333333333,0,0.05,4,241
ddqn,1000,4,300,0.19316666666666665,0,0.05,5,241
ddqn,1000,5,400,0.207375,0,0.05,6,241
ddqn,1000,6,13,0.20416666666666666,0,0.05,7,241
ddqn,1000,7,77,0.17320833333333333,0,0.05,8,241
ddqn,1000,8,31,0.12020833333333333,0,0.05,9,241
ddqn,1000,9,55,0.19320833333333334,0,0.05,10,241
ddqn,1000,10,88,0.17708333333333334,0,0.05,11,241
ddqn,1000,11,21,0.176625,0,0.05,12,241
ddqn,1000,12,34,0.20925,0,0.05,13,241
ddqn,1000,13,89,0.19995833333333332,0,0.05,14,241
ddqn,1000,14,144,0.16179166666666667,0,0.05,15,241
ddqn,1000,15,233,0.202,0,0.05,16,241
ddqn,1000,16,377,0.17816666666666667,0,0.05,17,241
ddqn,1000,17,610,0.161875,0,0.05,18,241
ddqn,1000,18,987,0.13716666666666666,0,0.05,19,241
ddqn,1000,19,1597,0.13708333333333333,0,0.05,20,241
ddqn,1000,20,2584,0.16629166666666667,0,0.05,21,241
ppo,100,1,0,0.97625,0,0.4,2,241
ppo,100,2,100,0.9841666666666666,0,0.4,3,241
ppo,100,3,200,0.9933333333333333,0,0.4,4,241
ppo,200,1,0,0.72375,0,0.4,2,241
ppo,200,2,100,0.8985416666666667,0,0.4,3,241
ppo,200,3,200,0.971875,0,0.4,4,241
ppo,200,4,300,0.9629166666666666,0,0.4,5,241
ppo,200,5,400,0.944375,0,0.4,6,241
ppo,200,6,13,0.8477083333333333,0,0.4,7,241
ppo,200,7,77,0.7958333333333333,0,0.4,8,241
ppo,200,8,31,0.76375,0,0.4,9,241
ppo,200,9,55,0.4404166666666667,0,0.4,10,241
ppo,200,10,88,0.85875,0,0.4,11,241
ppo,200,11,21,0.9733333333333334,0,0.4,12,241
ppo,200,12,34,0.983125,0,0.4,13,241
ppo,200,13,89,0.9566666666666667,0,0.4,14,241
ppo,200,14,144,0.9670833333333333,0,0.4,15,241
ppo,200,15,233,0.9704166666666667,0,0.4,16,241
ppo,200,16,377,0.88375,0,0.4,17,241
ppo,200,17,610,0.9785416666666666,0,0.4,18,241
ppo,200,18,987,0.9670833333333333,0,0.4,19,241
ppo,200,19,1597,0.969375,0,0.4,20,241
ppo,200,20,2584,0.9822916666666667,0,0.4,21,241
ppo,400,1,0,0.4266666666666667,0,0.4,2,241
ppo,400,2,100,0.46229166666666666,0,0.4,3,241
ppo,400,3,200,0.4990625,0,0.4,4,241
ppo,400,4,300,0.4775,0,0.4,5,241
ppo,400,5,400,0.48822916666666666,0,0.4,6,241
ppo,400,6,13,0.5241666666666667,0,0.4,7,241
ppo,400,7,77,0.4869791666666667,0,0.4,8,241
ppo,400,8,31,0.5209375,0,0.4,9,241
ppo,400,9,55,0.5273958333333333,0,0.4,10,241
